WBS1,WBS2,WBS3,WBS8,WBS7,WBS6,WBS5,WBS4
1456.17,1292.9,972.55,317.45,26.09,19.78,4.23,5.53
1478.16,845.87,986.35,421.09,13.62,18.76,3.96,6.51
1509.76,1300.42,559.3,801.83,28.39,13.66,2.98,6.01
1403.26,1440.7,950.7,454.03,21.81,8.3,4.34,5.81
1316.55,1260.67,495.97,548.65,13.95,11.23,3.98,5.9
1328.79,1034.7,983.03,350.67,113.81,13.03,5.52,6.78
1258.47,1297.72,860.61,384.41,7.42,8.04,8.12,5.88
1338.43,1147.66,862.32,589.25,31.95,13.18,8.58,6.41
1221.21,1341.57,1214.79,291.88,7.39,13.58,14.46,5.78
1468.69,999.17,933.51,224.33,17.74,7.79,4.22,5.6
1537.21,1128.85,1175.46,271.75,6.93,9.27,3.82,8.06
1368.79,1185.31,1183.62,412.99,5.47,8.46,3.2,6.07
1335.67,1174.83,1111.07,797.02,4.53,10.88,4.69,6.27
1571.75,1167.95,1241.6,696.5,4.26,15.53,4.47,10.13
1604.37,1180.95,967.85,453.22,5.7,13.74,6.49,5.53
1616.35,1092.59,966,360.87,14.31,14.85,6.27,6.83
1565.26,1099.6,919.99,398.88,8.56,15.73,8.42,9.46
1483.8,991.51,1183.86,477.19,9.84,6.37,6.85,5.95
1433.53,1067.92,1079.51,693.35,7.96,,7,7.31
1377.53,1031.69,839.81,224.41,5.77,,7.92,16.58
1439.18,1215.25,860.84,468.02,6.08,,8.28,15.02
1455.94,1307.07,1104.72,437.48,6.2,,5.98,15.76
1384.63,1148.33,1099.9,259.62,7.35,,9.12,14.52
1371.95,1195.52,1031.97,432.05,5.91,,12.4,20.79
1400.33,1239.23,1123.95,410.97,66.91,,7.94,8.31
1398.05,1418.96,1007.88,478.46,33.8,,7.39,7.7
1395.05,1277.78,898.28,469.64,5.95,,6.34,8.64
1305.65,1388.64,1009.85,406.08,6.13,,7.68,15.59
1451.87,1376.81,935.1,421.93,5.06,,8.35,15.62
1351.03,1323.07,1246.85,380.92,8.84,,9.3,11.26
1464,1489.57,1008.24,425.58,6.24,,8.59,6.64
1393.27,1228.89,1178.41,514.27,4.71,,12.94,11.51
1463.49,1322.94,1037.88,422.65,,,7.04,7.08
1479.65,1330.35,1007.79,353.01,,,7.32,11.97
1429.37,1291.05,1148.5,391.82,,,9.97,15.5
1401,1348.23,1124.4,320.03,,,,6.78
1491.9,1350.35,1044.43,453.54,,,,11.27
1433.82,1320.82,976.87,344.21,,,,10.68
1477.4,1405.88,1088.63,399.4,,,,5.97
1529.79,1279.01,1099.62,421.04,,,,10.15
1418.76,1424.44,819.46,302.02,,,,9
1431.52,1294.86,1137.79,491.58,,,,6.99
1459.53,1292.35,1075.62,334.04,,,,6.37
1472.71,1491.37,1043.5,384.04,,,,9.69
1494.86,1261.59,841.24,437.14,,,,34.49
1513.85,1257.36,928.19,543.37,,,,12.59
1431.53,1322.57,895.05,411.76,,,,8.85
1326,1337.33,873.8,285.75,,,,10.54
1427.07,1274.95,961.7,382.13,,,,7
1393.63,1316.36,1016.79,421.13,,,,10.13
1405.88,1293.23,,438.08,,,,8.74
1389.99,1221.03,,436.14,,,,15.79
1574.48,1360.47,,423.97,,,,8.01
1614.93,1356.57,,369.75,,,,7.96
1371.17,1323.08,,395.81,,,,9.93
1465.76,1339.35,,420.23,,,,10.28
1422.05,1376.81,,411.09,,,,4.57
1458.26,1235.67,,204.15,,,,9.6
1736.08,,,341.47,,,,12.15
1652.34,,,,,,,14.05
,,,,,,,10.98
,,,,,,,7.76
,,,,,,,6.63
,,,,,,,16.41
,,,,,,,6.35
,,,,,,,30.72
,,,,,,,13.82
,,,,,,,21.66
